5|MCPA|Y|\N|94-74-6
6|MCPP|Y|\N|7885-19-0
7|Flow Rate|Y|\N|\N
8|Field Temperature|Y|\N|\N
9|Total Residual Chlorine|Y|\N|\N
10|Chlorophyll A|Y|\N|\N
11|Chlorophyll B|Y|\N|\N
12|Chlorophyll C|Y|\N|\N
13|Pheophytin|Y|\N|\N
14|Free Carbon Dioxide|Y|\N|\N
15|Unionized Ammonia Nitrogen|Y|\N|\N
16|Hue|Y|\N|\N
17|Dissolved Oxygen|Y|\N|\N
18|Field pH|Y|\N|\N
19|Secchi Disk Depth|Y|\N|\N
20|Dominant Wavelength|Y|\N|\N
21|Corrected Chlorophyll A|Y|\N|\N
22|Purity|Y|\N|\N
23|Lindane|Y|\N|58-89-9
24|TDE|Y|\N|\N
25|DDE|Y|\N|\N
26|E.coli|Y|\N|e_coli
27|Enterococci|Y|\N|\N
28|Heterotrophic Plate Count|Y|\N|\N
29|Membrane Fecal Coliform|Y|\N|\N
30|Total Coliform|Y|\N|total_coliform
31|Membrane Fecal Streptococci|Y|\N|\N
32|Acetylsalicylic acid|Y|\N|50-78-2
33|Radon-222|Y|\N|14859-67-7
34|DDT|Y|\N|\N
35|HEOD|Y|\N|\N
36|Endosulfan II|Y|\N|33213-65-9
37|Thiodan II|Y|\N|33213-65-9
38|Thiodan I|Y|\N|959-98-8
39|Endosulfan sulfate|Y|\N|1031-07-8
40|Endrin|Y|\N|72-20-8
41|Endrex|Y|\N|72-20-8
42|Endrin aldehyde|Y|\N|7421-93-4
43|Heptachlor|Y|\N|76-44-8
44|Heptachlor epoxide|Y|\N|1024-57-3
45|Toxaphene|Y|\N|8001-35-2
46|Captan|Y|\N|133-06-2
47|alpha-Chlordane|Y|\N|5103-71-9
48|gamma-Chlordane|Y|\N|5103-74-2
49|alpha-Chlordene|Y|\N|56534-02-2
50|gamma-Chlordene|Y|\N|56641-38-4
51|Chlordene|Y|\N|3734-48-3
52|Chlorothalonil|Y|\N|1897-45-6
53|Dichlobenil|Y|\N|1194-65-6
54|Endrin ketone|Y|\N|53494-70-5
55|Hexachlorobenzene|Y|\N|118-74-1
56|Hexachloropentadiene|Y|\N|\N
57|Iprodione|Y|\N|36734-19-7
58|Methoxychlor|Y|\N|\N
59|cis-Nonachlor|Y|\N|5103-73-1
60|trans-Nonachlor|Y|\N|39765-80-5
61|Oxychlordane|Y|\N|27304-13-8
62|Pentachloroanisole|Y|\N|1825-21-4
63|Pentachloronitrobenzene|Y|\N|82-68-8
64|Cypermethrin|Y|\N|52315-07-8
65|Fenvalerate|Y|\N|51630-58-1
66|Mavrik|Y|\N|69409-94-5
67|Fluazifop-P-butyl (Fusilade)|Y|\N|79241-46-6
68|Permethrin|Y|\N|52645-53-1
69|Pyrethrins|Y|\N|8003-34-7
70|Metalaxyl (Apron)|Y|\N|57837-19-1
71|Metalaxyl|Y|\N|57837-19-1
72|Thiobencarb (Bolero)|Y|\N|28249-77-6
73|Thiobencarb|Y|\N|28249-77-6
74|Bromacil|Y|\N|314-40-9
75|Butachlor|Y|\N|23184-66-9
