1|colilert mpn well|MPN Total Coliform & E.coli by Quanti-Tray|SM 9223 B|Y|04/04/2011|12/31/2099
2|colilert pa|Presence/Absence Total coliform & E.coli|SM 9223 B|Y|04/04/2011|12/31/2099
3|epa 353.2|automated|EPA 353.2|Y|04/04/2011|12/31/2099
4|colilert mpn sdwa am|MPN Total Colifom & E.coli by Quanti-Tray - morning|9223B-QT|Y|09/06/2011|12/31/2099
5|colilert mpn sdwa pm|MPN Total Coliform & E.coli by Quanti-Tray - afternoon|9223B-18QT|Y|09/04/2011|12/31/2099
6|colilert pa sdwa am|P/A 24hr Total coliform & E.coli - morning|9223B-PA|Y|09/04/2011|12/31/2099
7|colilert pa sdwa pm|P/A 18hr Total coliform & E.coli - afternoon|9223B-18PA|Y|09/04/2011|12/31/2099
8|blue pour plate|Heterotropic Plate Count|SM 9215B|Y|09/04/2011|12/31/2099
9|rad sop 7.0 v3|Sample check-in for liquid matrices|RAD 7.0 V3|Y|09/15/2010|09/15/2099
10|epa 901.1|Gamma spectroscopy in liquids|EPA 901.1|Y|04/27/2010|12/31/2099
11|epa lv page 92|Gamma spectroscopy in solid matrices|EPA LV Page 92|Y|08/19/2010|08/19/2099
12|epa lv page 6|Gross alpha/beta in air|EPA LV Page 6|Y|05/10/2010|12/31/2099
13|orise ap1|Gross Alpha/Beta in solid|ORISE AP1|Y|04/23/2010|12/31/2099
14|rad sop 13.17|Surface radiation contaminants by liquid scintillation|RAD 13.17|Y|08/19/2010|08/19/2099
15|epa 00-02 including|Gross Alpha in water by co-precipitation including Uranium|EPA 00-02|Y|05/10/2010|12/31/2099
16|epa 900.0 including|Gross Alpha in water including Uranium by evaporation|EPA 900.0|Y|04/23/2010|12/31/2099
17|epa 900.0 beta|Gross Alpha/Beta in water|EPA 900.0|Y|08/10/2010|08/10/2099
18|rad sop 13.24|Sealed source wipe for leak testing|RAD 13.24|Y|08/19/2010|08/19/2099
19|rad sop 20.0|composite bottle to pour off, no analysis|RAD SOP 20.0|Y|04/27/2010|12/31/2099
20|sm 7500 rn b 19th|Radon 222 in water by liquid scintillation|SM 7500 RN B|Y|08/10/2010|08/10/2099
21|epa 903.0|Radium-226 in water by barium precipitation with radium 228|EPA 903.0|Y|08/19/2010|12/31/2099
338|osha 07 modified|industrial hygiene air samples|OSHA 07 Modified|Y|04/30/2012|12/31/2099
22|epa 904.0|Radium-228 in water|EPA 904.0|Y|08/19/2010|08/19/2099
23|epa 903.0/904.0|combined radium 226 and 228  (calculated)|EPA 903.0/904.0|Y|09/07/2011|09/07/2011
24|epa 00-02/200.8|Gross Alpha excluding Uranium  (calcualted)|EPA 00-02/200.8|Y|08/10/2010|08/03/2099
25|epa 900.0/200.8|Gross Alpha excluding Uranium (calculated)|EPA 900.0/200.8|Y|08/10/2010|08/10/2099
26|sm 7500 i c 19th|Iodine in milk and water by Carbon Tetrachloride extraction|SM 7500-I C|Y|08/10/2010|08/10/2099
27|epa 905.0|Strontium 89 and 90 in water|EPA 905.0|Y|08/10/2010|08/10/2099
28|sm 20.2|Strontium 89 and 90 in milk|SM 20.2|Y|08/10/2010|08/10/2099
29|epa 906.0|Tritium in liquids by distillation|EPA 906.0|Y|08/19/2010|08/19/2099
30|shl procedure|pesticides formulations and niosh/osha air procedures|Various Methods|Y|09/21/2010|12/31/2099
31|epa 552.2 haa|GCEC halo acetic acids (HAAs) in drinking water|EPA 552.2|Y|08/06/2010|12/31/2099
32|iowa oa-2 teh solid|sonicaiton prep for TEH in solids by GC-FID|Iowa OA-2|Y|09/02/2010|12/31/2099
33|iowa oa-2 teh water|separatory funnel prep for TEH in water by GC-FID|Iowa OA-2|Y|09/02/2010|12/31/2099
34|epa 524.2|volatiles in water by GCMS|EPA 524.2|Y|02/18/2010|12/31/2099
35|epa 524.2 thm|GCMS trihalomethanes (THMs) in drinking water|EPA 524.2|Y|07/30/2010|12/31/2099
36|epa 551.1 edb, dbcp|Ethylene dibromide and Dibromochloropropane low level|EPA 551.1|Y|01/31/2011|12/31/2099
37|epa 624|GCMS volatiles in waste water|EPA 624|Y|07/29/2010|12/31/2099
38|epa 624 aac|GCMS volatiles in water for acrolein, acrylonitrile, ceve|EPA 624 AAC|Y|09/20/2010|12/31/2099
39|epa 8260|GCMS volatiles in water, soil, and other matrices|EPA 8260|Y|04/27/2009|12/31/2099
