1|Recur Orders|N|0 4 * * *|OrderRecurrenceReportBean|recurOrders|\N|\N
2|Final Report Env Weekday 1|N|30 10 * * 1,2,3,4,5|FinalReportBean|runReportForBatch|\N|\N
3|Final Report Env Weekday 2|N|0 15 * * 1,2,3,4,5|FinalReportBean|runReportForBatch|\N|\N
4|Final Report Env Saturday 1|N|30 8 * * 6|FinalReportBean|runReportForBatch|\N|\N
5|Final Report Env Saturday 2|N|0 11 * * 6|FinalReportBean|runReportForBatch|\N|\N
6|Sample Received Notify Client|N|0 11,16 * * *|ClientNotificationReceivedReportBean|runReport|\N|\N
7|Sample Released Notify Client|N|10 * * * *|ClientNotificationReleasedReportBean|runReport|\N|\N
8|MCL Violation|N|15 * * * *|MCLViolationReportBean|runReport|\N|\N
9|Billing Report|N|10 0 * * *|BillingExportBean|export|\N|\N
10|Refresh Printer List|N|55 11 * * *|PrinterCacheBean|refresh|\N|\N
11|Turnaround Warning Notifcation|N|10 5 * * *|TurnaroundWarningNotificationBean|generateNotifications|\N|\N
12|Turnaround Max Notification|N|0 5 * * *|TurnaroundMaximumNotificationBean|generateNotifications|\N|\N
13|Instrument Interface Import|N|*/5 * * * *|InstrumentInterfaceImportBean|parseFiles|\N|\N
14|SDWIS Additional Scan|N|0 7 1-5 * *|SDWISAdditionalScannerBean|scan|\N|\N
15|SDWIS Violation Scan|N|55 * * * *|SDWISViolationScannerBean|scan|\N|\N
16|SDWIS Exchange|N|0 12 * * *|DataExchangeExportBean|export|sdwis_transm_prod|\N
17|EOrder Import|N|*/10 * * * *|EOrderImportBean|parseFiles|\N|\N
18|Metro Exchange|N|10 12,17 * * *|DataExchangeExportBean|export|oe live prod metro|\N
19|DPH Exchange|N|0 20 * * *|DataExchangeExportBean|export|oe live prod dph|\N
20|PHLIP Exchange|N|20 17 * * *|DataExchangeExportBean|export|oe live prod phlip|\N
22|UnityPoint Exchange|N|40 17 * * *|DataExchangeExportBean|export|oe live prod unity|\N
23|Attachment Import Other|N|*/2 * * * *|AttachmentImportBean|importAttachments|attachment_import_other;|\N
24|Attachment Remove|N|0 3 * * *|AttachmentImportBean|removeImportedAttachments|14|\N
