4|epa 548.1|GCMS endothall in water|EPA 548.1|Y|01/01/2000|12/31/2099
5|colilert mpn|E.coli MPN by Quanti-Tray|SM 9223B 21st MPN|Y|04/01/2009|12/31/2099
6|colilert mpn well|MPN Total Coliform & E.coli by Quanti-Tray|SM 9223B 21st MPN|Y|04/01/2009|12/31/2099
7|mf e coli|E.coli by Membrane Filtration|EPA 1603|Y|04/01/2009|12/31/2099
8|mtf mpn e coli|E.coli by Multiple Tupe Fermentation, SM 9221F|SM 9221F|Y|04/01/2009|12/31/2099
9|petrifilm|E.coli by Petrifilm, AOAC 998.08|AOAC 998.08|Y|03/30/2009|12/29/2099
10|mf fecal|Fecal Coliform by Membrane Filtration, SM 9222D|SM 9222D|Y|04/01/2009|12/31/2099
11|mtf mpn fecal|MPN by Multiple Tube Fermentation for Fecal Coliform|SM21 9221E|Y|04/01/2009|12/31/2099
12|mtf mpn tot coliform|MPN by Multiple Tube Fermentation for Total Coliform|SM 9221B|Y|04/01/2009|12/31/2099
13|mf total coliform|Total Coliform by Membrane Filtration, SM 9222B|SM 9222B|Y|04/01/2009|12/31/2099
14|1623|Giardia & Cryptosporidium by EPA 1623|EPA 1623|Y|04/01/2009|12/31/2099
15|hpc red pour plate|Heterotrophic Plate Count|SM 9215B|N|04/01/2009|12/31/2099
16|mf enterococci|Enterococci by Membrane Filtration|EPA 1600|Y|04/01/2009|12/31/2099
17|epa 8260|GCMS volatiles in water, soil, and other matrices|EPA 8260|Y|04/27/2009|12/31/2099
18|mf namug|E.coli by Membrane Filter using NA w/MUG, SM 9222G|SM 9222G|Y|04/01/2009|12/31/2099
19|epa 8082 pcb|PCBs in water, soil, oil, and other matrices by GCEC|EPA 8082|Y|01/01/2009|01/01/2099
20|epa 8081 chi|chlorinated hydrocarbons in water, soil, and other matrices|EPA 8081|Y|01/01/2009|01/01/2099
21|gross a/b in water|gross alpha/beta in water by evaporation EPA 900.0|EPA 900.0|Y|04/01/2009|12/31/2099
22|gross a/b soil|gross alpha/beta activity in soil by UHL 13.21|UHL SOP 13.21|Y|04/01/2009|12/31/2099
23|Radon|Radon-222 by SM 7500-Rn B|Radon-222 by SM 7500-Rn B|N|04/30/2009|09/01/2011
24|sm 2340 c,total hard|Titration|SM 2340 C 18th|Y|05/04/2009|12/31/2099
25|nalco aquagraph|Calculation|Nalco Aquagraph|Y|07/29/2010|12/31/2099
26|epa 200.7boron nondw|ICP metals|EPA 200.7|Y|05/04/2009|12/31/2099
27|epa 6010 b|ICP metals|EPA 6010B|Y|05/04/2009|12/31/2099
28|Bart|Bart test method for sulfate reducing bacteria|Bart Test for Sulfate Reducing Bacteria|Y|04/01/2009|12/31/2099
29|iron bacteria|Iron Bacteria|SM 9240A|Y|04/01/2009|12/31/2099
30|pseudo|Pseudomonas aeruginosa by SM 9213F|SM 9213F 21st|Y|04/01/2009|12/31/2099
31|sm 4500h|sm 4500 h for field pH|SM 4500 h|Y|05/14/2009|12/31/2099
32|sm 2130 b|Nephelometric - reportable turbidities|SM 2130 B 18th|Y|05/14/2009|12/31/2099
33|epa 200.2 trm|TRM digestion|EPA 200.2|Y|05/14/2009|12/31/2099
34|niosh 7300 uhl ih|ICP metals|NIOSH 7300-UHL|Y|05/14/2009|12/31/2099
35|flow-csi|Flow for Compliance Sampling|ISCO 1989|Y|05/14/2009|12/31/2099
