1|\N|enviro_micro-ank|Environmental Microbiology Ankeny|N|\N
2|\N|enviro_micro-ic|Environmental Microbiology Iowa City|N|\N
3|\N|enviro_micro-lk|Environmental Microbiology Lakeside|N|\N
4|\N|airquality-ic|Air quality Iowa City|N|\N
5|\N|asbestos-ic|Asbestos Iowa City|N|\N
6|\N|bacteriology-ank|Bacteriology Ankeny|N|\N
7|\N|bacteriology-ic|Bacteriology Iowa City|N|\N
8|\N|bioassay-ank|Bioassay Ankeny|N|\N
9|\N|biomonitoring-ank|Biomonitoring Ankeny|N|\N
10|\N|biomonitoring-ic|Biomonitoring Iowa City|N|\N
11|\N|blood_lead-ank|Blood Lead Ankeny|N|\N
12|\N|cdc_atlanta|Centers for Disease Control and Prevention - Atlanta|Y|\N
13|\N|chlamydia_gc-ic|Chlamydia Gonorrhoea Iowa City|N|\N
14|\N|cystic_fibrosis-ank|Cystic Fibrosis Ankeny|N|\N
15|\N|enviro_lead-ank|Environmental lead Ankeny|N|\N
16|\N|formulation-ic|Pesticide Formulation Iowa City|N|\N
17|\N|industrial_hyg-ank|Industrial hygiene Ankeny|N|\N
18|\N|industrial_hyg-ic|Industrial hygiene Iowa City|N|\N
19|\N|inorg_auto-ank|Inorganic Automated Ankeny|N|\N
20|\N|inorg_auto-ic|Inorganic Automated Iowa City|N|\N
21|\N|inorg_manual-ank|Inorganic Manual Ankeny|N|\N
22|\N|inorg_manual-ic|Inorganic Manual Iowa City|N|\N
23|\N|inorg_manual-lk|Inorganic Manual Lakeside|N|\N
24|\N|limnology-ank|Limnology Ankeny|N|\N
25|\N|limnology-ic|Limnology Iowa City|N|\N
26|\N|limnology-lk|Limnology Lakeside|N|\N
27|\N|liquidchrom-ic|High Performance Liquid Chromatography Analysis Iowa City|N|\N
28|\N|maternal_screen-ic|Maternal Screening Iowa City|N|\N
29|\N|metals-ank|Metals Ankeny|N|\N
30|\N|molecular-ank|Molecular Ankeny|N|\N
31|\N|molecular-ic|Molecular Iowa City|N|\N
32|\N|mycobacti-ank|Mycobacteriology Ankeny|N|\N
33|\N|mycobacti-ic|Mycobacteriology Iowa City|N|\N
34|\N|newborn_screen-ank|Newborn Screening Ankeny|N|\N
35|\N|organic-ic|General Organic Analysis Iowa City|N|\N
36|\N|parasitology-ic|Parasitology Iowa City|N|\N
37|\N|pesticide-ic|Gas Chromatography Pesticide Analysis Iowa City|N|\N
38|\N|rabies-ic|Rabies Iowa City|N|\N
39|\N|radchem-ic|Radiochemistry Iowa City|N|\N
40|\N|sample_prep-ank|Sample Preparation Ankeny|N|\N
41|\N|sample_prep-ic|Sample Preparation Iowa City|N|\N
42|\N|sample_prep-lk|Sample Preparation Lakeside|N|\N
43|\N|semivolatile-ic|Gas Chromatography Semivolatile Analysis Iowa City|N|\N
44|\N|serology-ank|Serology Ankeny|N|\N
45|\N|serology-ic|Serology Iowa City|N|\N
46|\N|virology-ic|Virology Iowa City|N|\N
47|\N|volatile-ic|Gas Chromatography Volatile Analysis Iowa City|N|\N
48|\N|client_services-ic|Client Services IC|N|\N
49|\N|inorg_auto-lk|Inorganic Automated Lakeside|N|\N
50|\N|system|System processes|N|\N
51|\N|utexas_san_antonio|University of Texas Health Science Center at San Antonio|Y|\N
52|\N|utexas_tyler|University of Texas Health Science Center at Tyler|Y|\N
53|\N|nat_jewish_med_ctr|National Jewish Medical and Research Center - Myco Lab|Y|\N
54|\N|minnesota_dph|Minnesota Department of Health - Public Health Laboratory|Y|\N
55|\N|michigan_dch|Michigan Department of Community Health - TB Laboratory|Y|\N
56|\N|wsu_waddl|Washington State University - WADDL|Y|\N
57|\N|isu_vet_diag_lab|Iowa State Veterinary Diagnostic Laboratory - ISU|Y|\N
58|\N|cdc_fort_collins|Centers for Disease Control and Prevention - Fort Collins|Y|\N
59|\N|florida_dph|Florida Dept of Public Health - FL Bureau of Laboratories|Y|\N
60|\N|wslh|Wisconsin State Laboratory of Hygiene|Y|\N
